,Nodtyp,EnhetId,AntalbestalldaPortioner,AntalKoptaPortioner,AntalAtande,AntalSaldaPortioner,KoksSvinnGram,ServeringsSvinnGram,TallriksSvinnGram,DW_Source,Manad,Ar,Dag,Vecka
41188,1,371,0,0,281,0,2000,1000,4000,0,1,2022,2,2
41189,1,372,0,0,238,0,1200,500,4100,0,1,2022,2,2
41190,1,373,0,0,582,0,1000,2300,4100,0,1,2022,2,2
41191,1,376,0,0,151,0,200,1300,2400,0,1,2022,2,2
41192,1,377,420,0,369,0,0,3300,5400,0,1,2022,2,2
41193,1,378,0,0,115,0,3000,4000,2000,0,1,2022,2,2
41194,1,379,435,0,324,0,1400,2000,8900,0,1,2022,2,2
41195,1,380,180,0,129,0,200,1300,2200,0,1,2022,2,2
41196,2,386,0,0,576,0,1300,4000,8400,0,1,2022,2,2
41197,2,389,0,0,434,0,1000,12200,8200,0,1,2022,2,2
41198,2,390,0,0,384,0,2000,8000,14000,0,1,2022,2,2
41199,2,391,0,0,725,0,1000,4000,22000,0,1,2022,2,2
41200,1,398,0,0,324,0,500,1000,6000,0,1,2022,2,2
41201,1,399,0,0,390,0,0,7100,7000,0,1,2022,2,2
41202,1,400,0,0,430,0,3000,6000,5000,0,1,2022,2,2
41203,0,401,0,0,451,0,2000,6000,11300,0,1,2022,2,2
41204,1,406,0,0,333,0,3000,2000,7000,0,1,2022,2,2
41205,1,407,0,0,319,0,500,2900,6600,0,1,2022,2,2
41206,0,2,0,0,109,0,0,900,800,0,1,2022,3,2
41207,0,34,0,0,130,0,0,1300,2000,0,1,2022,3,2
41208,0,38,0,0,113,0,1000,1000,1000,0,1,2022,3,2
41209,0,53,0,0,31,0,0,1200,1100,0,1,2022,3,2
41210,0,80,26,0,26,0,1000,1000,1000,0,1,2022,3,2
41211,0,83,0,0,76,0,0,200,300,0,1,2022,3,2
41212,0,105,0,0,32,0,1100,1800,1500,0,1,2022,3,2
41213,0,117,0,0,300,0,110,300,400,0,1,2022,3,2
41214,0,141,10,0,10,0,761,422,598,0,1,2022,3,2
41215,0,152,0,0,13,0,0,4300,0,0,1,2022,3,2
41216,0,157,0,0,12,0,0,161,254,0,1,2022,3,2
41217,0,159,0,0,18,0,0,3600,0,0,1,2022,3,2
41218,0,161,0,0,44,0,0,12700,4100,0,1,2022,3,2
41219,0,165,0,0,19,0,0,4300,0,0,1,2022,3,2
41220,0,190,0,0,103,0,0,0,3650,0,1,2022,3,2
41221,0,199,0,0,19,0,0,2600,0,0,1,2022,3,2
41222,0,228,0,0,34,0,204,0,5,0,1,2022,3,2
41223,0,258,0,0,11,0,0,4500,0,0,1,2022,3,2
41224,0,268,0,0,115,0,357,4435,4483,0,1,2022,3,2
41225,0,287,0,0,18,0,1830,4214,1108,0,1,2022,3,2
41226,0,290,58,0,55,0,0,300,400,0,1,2022,3,2
41227,0,309,0,0,55,0,300,2500,800,0,1,2022,3,2
41228,0,317,0,0,55,0,0,188,97,0,1,2022,3,2
41229,0,328,0,0,68,0,0,25000,2000,0,1,2022,3,2
41230,0,334,0,0,158,0,700,0,500,0,1,2022,3,2
41231,1,347,0,0,438,0,2000,7000,9000,0,1,2022,3,2
41232,1,349,0,0,450,0,0,180,10000,0,1,2022,3,2
41233,1,350,0,0,864,0,9000,9000,22000,0,1,2022,3,2
41234,1,352,0,0,616,0,2000,12000,10000,0,1,2022,3,2
41235,1,353,0,0,238,0,2000,2500,8400,0,1,2022,3,2
41236,1,354,277,0,253,0,0,4000,7500,0,1,2022,3,2
41237,1,355,0,0,271,0,1000,2000,4000,0,1,2022,3,2
41238,1,356,0,0,342,0,500,6000,2000,0,1,2022,3,2
41239,1,357,0,0,380,0,1000,5000,7000,0,1,2022,3,2
41240,1,358,0,0,375,0,1000,3000,4000,0,1,2022,3,2
41241,1,359,0,0,260,0,0,14000,8000,0,1,2022,3,2
41242,1,360,0,0,393,0,2000,6000,14000,0,1,2022,3,2
41243,1,361,0,0,427,0,1000,6000,17000,0,1,2022,3,2
41244,1,364,0,0,351,0,2000,5200,10200,0,1,2022,3,2
41245,1,365,0,0,210,0,1300,700,5000,0,1,2022,3,2
41246,1,366,0,0,176,0,1000,3000,2100,0,1,2022,3,2
41247,1,367,0,0,310,0,0,6000,9800,0,1,2022,3,2
41248,1,368,0,0,323,0,1200,6600,4100,0,1,2022,3,2
41249,1,369,0,0,354,0,200,0,1700,0,1,2022,3,2
41250,1,370,0,0,438,0,1300,8200,6800,0,1,2022,3,2
41251,1,371,0,0,268,0,4000,1000,1000,0,1,2022,3,2
41252,1,372,0,0,236,0,1000,500,3600,0,1,2022,3,2
41253,1,376,0,0,151,0,300,1500,2400,0,1,2022,3,2
41254,1,377,420,0,360,0,0,3100,5300,0,1,2022,3,2
41255,1,378,0,0,106,0,2000,3000,3000,0,1,2022,3,2
41256,1,379,435,0,360,0,1300,3000,7000,0,1,2022,3,2
41257,1,380,180,0,122,0,900,2100,1500,0,1,2022,3,2
41258,2,386,0,0,566,0,1000,3000,7000,0,1,2022,3,2
41259,2,389,0,0,396,0,1500,17100,10700,0,1,2022,3,2
41260,2,390,0,0,320,0,2000,12000,12000,0,1,2022,3,2
41261,2,391,0,0,620,0,1000,4000,16000,0,1,2022,3,2
41262,1,398,0,0,312,0,1000,2000,6000,0,1,2022,3,2
41263,1,399,0,0,410,0,0,8900,6300,0,1,2022,3,2
41264,1,400,0,0,423,0,3000,3000,3000,0,1,2022,3,2
41265,0,401,0,0,439,0,2400,4000,12000,0,1,2022,3,2
